"skill","status","domain","use_case","tier","recommended_action","target_or_merge","reason"
"accessibility-review","active","frontend-web","Web frontend frameworks, UX, performance and accessibility","Core","Keep active","","Useful and currently available"
"acquire-codebase-knowledge","active","general-misc","General-purpose or uncategorized development assistance","Core","Keep active","","Useful and currently available"
"acquire-codebase-knowledge copy","archived","general-misc","General-purpose or uncategorized development assistance","Archive-candidate","Archive","N/A","Duplicate copy"
"add-educational-comments","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"agent-governance","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"agent-owasp-compliance","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"agent-supply-chain","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"agentic-eval","active","ai-agents","Agentic systems, observability, evaluation and AI tooling","Optional","Keep active","","Useful and currently available"
"ai-prompt-engineering-safety-review","active","ai-agents","Agentic systems, observability, evaluation and AI tooling","Optional","Keep active","","Useful and currently available"
"appinsights-instrumentation","active","cloud-azure","Azure architecture, deployment, cost and governance","Optional","Keep active","","Useful and currently available"
"apple-appstore-reviewer","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"arch-linux-triage","active","ops-infra","DevOps, infra operations, deployment and system triage","Optional","Keep active","","Useful and currently available"
"architecture-blueprint-generator","active","planning-docs","Planning artifacts, specs, docs and delivery decomposition","Optional","Keep active","","Useful and currently available"
"arize-ai-provider-integration","active","ai-agents","Agentic systems, observability, evaluation and AI tooling","Optional","Keep active","","Useful and currently available"
"arize-annotation","active","ai-agents","Agentic systems, observability, evaluation and AI tooling","Optional","Keep active","","Useful and currently available"
"arize-dataset","active","ai-agents","Agentic systems, observability, evaluation and AI tooling","Optional","Keep active","","Useful and currently available"
"arize-evaluator","active","ai-agents","Agentic systems, observability, evaluation and AI tooling","Optional","Keep active","","Useful and currently available"
"arize-experiment","active","ai-agents","Agentic systems, observability, evaluation and AI tooling","Optional","Keep active","","Useful and currently available"
"arize-instrumentation","active","ai-agents","Agentic systems, observability, evaluation and AI tooling","Optional","Keep active","","Useful and currently available"
"arize-link","active","ai-agents","Agentic systems, observability, evaluation and AI tooling","Optional","Keep active","","Useful and currently available"
"arize-prompt-optimization","active","ai-agents","Agentic systems, observability, evaluation and AI tooling","Optional","Keep active","","Useful and currently available"
"arize-trace","active","ai-agents","Agentic systems, observability, evaluation and AI tooling","Optional","Keep active","","Useful and currently available"
"aspire","active","cloud-azure","Azure architecture, deployment, cost and governance","Optional","Keep active","","Useful and currently available"
"aspnet-minimal-api-openapi","active","language-runtime","Language-specific implementation patterns and SDK scaffolds","Optional","Keep active","","Useful and currently available"
"automate-this","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"autoresearch","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"aws-cdk-python-setup","active","general-misc","General-purpose or uncategorized development assistance","Optional","Keep active","","Useful and currently available"
"az-cost-optimize","active","cloud-azure","Azure architecture, deployment, cost and governance","Optional","Keep active","","Useful and currently available"
"azure-architecture-autopilot","active","cloud-azure","Azure architecture, deployment, cost and governance","Optional","Keep active","","Useful and currently available"
"azure-deployment-preflight","active","cloud-azure","Azure architecture, deployment, cost and governance","Optional","Keep active","","Useful and currently available"
"azure-devops-cli","active","cloud-azure","Azure architecture, deployment, cost and governance","Optional","Keep active","","Useful and currently available"
"azure-pricing","active","cloud-azure","Azure architecture, deployment, cost and governance","Optional","Keep active","","Useful and currently available"
"azure-resource-health-diagnose","active","cloud-azure","Azure architecture, deployment, cost and governance","Optional","Keep active","","Useful and currently available"
"azure-resource-visualizer","active","cloud-azure","Azure architecture, deployment, cost and governance","Optional","Keep active","","Useful and currently available"
"azure-role-selector","active","cloud-azure","Azure architecture, deployment, cost and governance","Optional","Keep active","","Useful and currently available"
"azure-static-web-apps","active","cloud-azure","Azure architecture, deployment, cost and governance","Optional","Keep active","","Useful and currently available"
"bigquery-pipeline-audit","active","data-platforms","Databases, vector search, analytics and data architecture","Optional","Keep active","","Useful and currently available"
"boost-prompt","active","general-misc","General-purpose or uncategorized development assistance","Experimental","Keep active (opt-in)","","Retain but gate by explicit opt-in usage"
